ds,yhat,yhat_lower,yhat_upper
2016-10-30,175.61499600419089,158.46359909523363,194.27662182557523
2016-10-31,175.31965802363902,157.16785782012676,195.37711369350745
2016-11-01,173.49508015856975,153.92444451267784,192.34742637604953
2016-11-02,173.97447666797447,156.09545824463362,193.82191255855193
2016-11-03,174.65093968458265,155.29614298759307,192.0315600065837
2016-11-04,175.92774908387852,157.43291362873248,193.17720217921513
2016-11-05,175.70614256180505,157.47610503570885,193.45772926651145
2016-11-06,176.2275174650212,157.4587792353112,195.7660233500943
2016-11-07,175.76720477623672,158.17513621055244,193.4237498934231
2016-11-08,173.76701131375702,155.28843570182528,191.90600106940656
2016-11-09,174.06280331520415,154.81428171638632,193.4603163972476
2016-11-10,174.55042622028432,155.21244803139825,193.29177491205746
2016-11-11,175.63627272396295,157.01460845845418,194.84191504005142
2016-11-12,175.22480057551374,156.97880594096702,193.90761346883048
2016-11-13,175.56091272448398,156.01067657171737,193.99871452330527
2016-11-14,174.92334010507304,156.1882950219498,194.11943170624147
2016-11-15,172.75728618942156,153.50964163539552,190.47157476480865
2016-11-16,172.902039569079,154.2902106022629,192.34711529629848
2016-11-17,173.25641949252488,154.24216287642113,192.8278132676892
2016-11-18,174.22956944134668,156.43298220019608,192.564321389127
2016-11-19,173.72820635138913,154.8151208651345,194.05766536775383
2016-11-20,173.99918021081444,155.46089054844842,192.7686436701467
2016-11-21,173.3224848130887,153.80622677384233,191.8853634387249
2016-11-22,171.14404185555154,151.16802769906576,189.50063132336777
2016-11-23,171.30339720017392,154.8194271514021,190.56734202829676
