ds,yhat,yhat_lower,yhat_upper,Category
2015-11-25,13.016864826899829,8.368931355806435,17.932783956248745,Camping & Hiking
2015-11-26,13.207343129511708,8.680205055880235,17.386972557344755,Camping & Hiking
2015-11-27,13.05242746595581,8.387355372188694,17.986588021906382,Camping & Hiking
2015-11-28,13.231834123083713,8.391886771467666,18.162573806677027,Camping & Hiking
2015-11-29,13.2766224176047,8.532178347286957,17.991764658401905,Camping & Hiking
2015-11-30,12.954991362237585,8.22493670214431,17.725727290138458,Camping & Hiking
2015-12-01,13.279888903238312,8.140922712986523,17.982355207126968,Camping & Hiking
2015-12-02,12.704251176141486,8.130841624514785,17.033028789592816,Camping & Hiking
2015-12-03,12.895087002144182,7.965863003323873,17.969253319732175,Camping & Hiking
2015-12-04,12.738347407966197,7.762463409391075,17.562139308327698,Camping & Hiking
2015-12-05,12.914474029446984,8.298464327989034,17.566611229822666,Camping & Hiking
2015-12-06,12.954983915400772,8.198348182350404,17.51418918144403,Camping & Hiking
2015-12-07,12.62871009600115,7.8873682925907165,17.45091964660841,Camping & Hiking
2015-12-08,12.949724100206668,8.016068786010312,17.697156710810113,Camping & Hiking
2015-12-09,12.371269414533957,7.36519944253084,17.04041731541619,Camping & Hiking
2015-12-10,12.561755644790983,7.8707173527705665,17.328096014614413,Camping & Hiking
2015-12-11,12.407583783789429,7.881591372175692,17.370453204368644,Camping & Hiking
2015-12-12,12.590200639271513,7.697555719178038,17.024223424733307,Camping & Hiking
2015-12-13,12.641665333310005,7.785165460231846,17.413317808139585,Camping & Hiking
2015-12-14,12.331327502435972,7.3138413711961885,16.73953904171896,Camping & Hiking
2015-12-15,12.674063030930759,7.591975879193396,17.08382707085036,Camping & Hiking
2015-12-16,12.1229079156335,7.619192265055321,16.625806200198586,Camping & Hiking
2015-12-17,12.346974439013044,7.50228392739464,17.309248647205905,Camping & Hiking
2015-12-18,12.232250367337219,7.410709056095951,16.76607548376525,Camping & Hiking
2015-12-19,12.460182941125508,7.425014160039717,16.796756362838142,Camping & Hiking
2015-12-20,12.562255320752499,7.886996988882451,17.425073084862625,Camping & Hiking
2015-12-21,12.307134594141006,7.419518704027706,17.001952784896954,Camping & Hiking
2015-12-22,12.709255916985711,7.864812851605432,17.25184997355308,Camping & Hiking
2015-12-23,12.220193982719193,7.686380739142965,17.010385842471,Camping & Hiking
2015-12-24,12.508539339047697,7.69957727396551,17.05372813816453,Camping & Hiking
2015-12-25,12.458709468583402,8.20990554381924,17.4028560884999,Camping & Hiking
2015-12-26,12.751098994844124,7.9420070411636665,17.406168216900234,Camping & Hiking
2015-12-27,12.915700336274371,8.417050605954492,17.630890881472453,Camping & Hiking
2015-12-28,12.719752359351592,8.158562479063303,17.323580021032775,Camping & Hiking
2015-12-29,13.17669939439528,8.437270850030217,17.96194929400205,Camping & Hiking
2015-12-30,12.736321583376949,8.25875846573315,17.234995035923312,Camping & Hiking
2015-12-31,13.066586729776375,8.236279036175182,18.167690627247747,Camping & Hiking
2016-01-01,13.05048224619195,8.201943976515224,17.367857198194297,Camping & Hiking
2016-01-02,13.367733810473238,8.528108117004354,17.766633659052747,Camping & Hiking
2016-01-03,13.547465559157699,8.779202201474765,18.365866899469495,Camping & Hiking
2016-01-04,13.356337855519891,8.654283240186825,18.169721866627846,Camping & Hiking
2016-01-05,13.807863028368306,8.871491895825672,18.599946568942116,Camping & Hiking
2016-01-06,13.351270252625174,8.507671039393026,18.187085723172135,Camping & Hiking
2016-01-07,13.655303006152351,8.697215929415256,18.407843907242157,Camping & Hiking
2016-01-08,13.603037151611714,8.954113495990818,18.517538822061574,Camping & Hiking
2016-01-09,13.875129422412837,9.219882814250063,18.34743211851294,Camping & Hiking
2016-01-10,14.001475684911792,9.38077708695475,18.586287639439263,Camping & Hiking
